Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,,
Vintron Informatics Ltd,VINTRON,Electronic Equipments,410.192613,52.35,24.636192972972975,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO,AVALON,CENTUM,RIR,CONTROLPR,VINYAS,ELIN,AIMTRON,SPELS,JINDALPHOT,FROG,VINTRON"
Nitiraj Engineers Ltd,NITIRAJ,Electronic Equipments,301.3794,294,25.05231920199499,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO,AVALON,CENTUM,RIR,CONTROLPR,VINYAS,ELIN,AIMTRON,SPELS,JINDALPHOT,FROG,VINTRON,NITIRAJ"
Pulz Electronics Ltd,PULZ,Electronic Equipments,128.50364,117.85,15.538529625151146,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO,AVALON,CENTUM,RIR,CONTROLPR,VINYAS,ELIN,AIMTRON,SPELS,JINDALPHOT,FROG,VINTRON,NITIRAJ,PULZ"
Aplab Ltd,APLAB,Electronic Equipments,110.00171,99.19,137.5021375000005,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO,AVALON,CENTUM,RIR,CONTROLPR,VINYAS,ELIN,AIMTRON,SPELS,JINDALPHOT,FROG,VINTRON,NITIRAJ,PULZ,APLAB"
Maestros Electronics & Telecommunications Systems Ltd,METSL,Electronic Equipments,80.53211376,146.15,16.33511435192697,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO,AVALON,CENTUM,RIR,CONTROLPR,VINYAS,ELIN,AIMTRON,SPELS,JINDALPHOT,FROG,VINTRON,NITIRAJ,PULZ,APLAB,METSL"
Five Core Electronics Ltd,FIVECORE,Electronic Equipments,39.88285624,31.7,2.842683979994336,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO,AVALON,CENTUM,RIR,CONTROLPR,VINYAS,ELIN,AIMTRON,SPELS,JINDALPHOT,FROG,VINTRON,NITIRAJ,PULZ,APLAB,METSL,FIVECORE"
Photoquip India Ltd,PHOTOQUP,Electronic Equipments,14.0178688,23.36,-6.314355315,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO,AVALON,CENTUM,RIR,CONTROLPR,VINYAS,ELIN,AIMTRON,SPELS,JINDALPHOT,FROG,VINTRON,NITIRAJ,PULZ,APLAB,METSL,FIVECORE,PHOTOQUP"
VCU Data Management Ltd,VCU,Electronic Equipments,10.8345,6.99,1083.4500000000205,,"BEL,HONAUT,ZENTEC,PGEL,GENUSPOWER,SYRMA,EXICOM,SHILCTECH,APOLLO,AVALON,CENTUM,RIR,CONTROLPR,VINYAS,ELIN,AIMTRON,SPELS,JINDALPHOT,FROG,VINTRON,NITIRAJ,PULZ,APLAB,METSL,FIVECORE,PHOTOQUP,VCU"
Tata Consultancy Services Ltd,TCS,IT Services & Consulting,1590909.263,4397.1,34.654292553362815,,TCS
Infosys Ltd,INFY,IT Services & Consulting,767322.5472,1852.6,29.250278168505318,,"TCS,INFY"
