Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio"
DLF Ltd,DLF,"Real Estate","216317.48998734","873.9","79.3214366863481"
Macrotech Developers Ltd,LODHA,"Real Estate","126722.3823488","1273.6","81.80387473294178"
Godrej Properties Ltd,GODREJPROP,"Real Estate","86953.9740948","3127.2","119.89186660802201"
Prestige Estates Projects Ltd,PRESTIGE,"Real Estate","70365.25043489","1755.35","51.208245713477886"
Oberoi Realty Ltd,OBEROIRLTY,"Real Estate","66877.35945141","1839.3","34.712633370398635"
Phoenix Mills Ltd,PHOENIXLTD,"Real Estate","64465.39799172","3606.9","58.64649296020816"
Embassy Office Parks REIT,EMBASSY,"Real Estate","32216.064643341","374.79","33.41811421152974"
Brigade Enterprises Ltd,BRIGADE,"Real Estate","29076.8837658","1258","64.3849422417574"
Signatureglobal (India) Ltd,SIGNATURE,"Real Estate","20352.97359135","1448.5","1257.909369057479"
Sobha Ltd,SOBHA,"Real Estate","20255.88570204","1788.2","412.4594930164973"
Nexus Select Trust,NXST,"Real Estate","20173.74","151.03","33.70378909382517"
Mindspace Business Parks REIT,MINDSPACE,"Real Estate","20155.501969816","345.73","38.391432323459064"
Anant Raj Ltd,ANANTRAJ,"Real Estate","18229.61494996","533.2","69.87203890364124"
Valor Estate Ltd,DBREALTY,"Real Estate","11167.235817849001","207.39","8.464002651130833"
Puravankara Ltd,PURVA,"Real Estate","10997.81668825","463.75","260.2417578857075"
Brookfield India Real Estate Trust,BIRET,"Real Estate","9717.190029927","269.96","411.91988257426806"
Mahindra Lifespace Developers Ltd,MAHLIFE,"Real Estate","9442.55491777","609.05","96.10742918849911"
National Standard (India) Ltd,NATIONSTD,"Real Estate","9344.9","4672.45","633.9823609226596"
Keystone Realtors Ltd,RUSTOMJEE,"Real Estate","9031.7710505","716.75","80.48989439889498"
Sunteck Realty Ltd,SUNTECK,"Real Estate","8667.60141223","591.7","122.19937138347673"
Equinox India Developments Ltd,EMBDL,"Real Estate","8522.578168611","134.03","-8.205437990286429"
Max Estates Ltd,MAXESTATES,"Real Estate","8171.613036719999","554.35","-193.8238386318785"
Ganesh Housing Corp Ltd,GANESHHOUC,"Real Estate","7498.1671328","899.2","16.27559612068591"
Nesco Ltd,NESCO,"Real Estate","6463.9967304","917.4","17.817952286234085"
Tarc Ltd,TARC,"Real Estate","6428.37856164","217.84","-83.44208932554518"
Hemisphere Properties India Ltd,HEMIPROP,"Real Estate","6017.775","211.15","-612.8080448065173"
Shipping Corporation of India Land and Assets Ltd,SCILAL,"Real Estate","4616.53398811","99.11","97.21065462434196"
Ashiana Housing Ltd,ASHIANA,"Real Estate","3971.2344757849996","395.05","47.6167203331535"
Nirlon Ltd,NIRLON,"Real Estate","3814.6966332","423.3","18.556679638079487"
Arvind Smartspaces Ltd,ARVSMART,"Real Estate","3475.11367476","764.4","83.59667247438026"
Marathon Nextgen Realty Ltd,MARATHON,"Real Estate","3051.7491033","595.95","18.33212652910434"
Kolte-Patil Developers Ltd,KOLTEPATIL,"Real Estate","2930.349988995","385.55","-42.25450596964676"
Unitech Ltd,UNITECH,"Real Estate","2770.662808773","10.59","-0.8328712480980809"
Omaxe Ltd,OMAXE,"Real Estate","2679.1271099200003","146.48","-6.6545631145553905"
Ajmera Realty & Infra India Ltd,AJMERA,"Real Estate","2630.671208125","741.35","25.580233451234896"
Suratwwala Business Group Ltd,SBGLP,"Real Estate","2147.7626094","123.85","77.28544834112991"
Hubtown Ltd,HUBTOWN,"Real Estate","2075.3750187729997","259.63","-24.307507832899965"
Peninsula Land Ltd,PENINLAND,"Real Estate","2015.51026538","65.29","15.650801874359365"
Elpro International Ltd,ELPROINTL,"Real Estate","1943.9256211","114.7","22.735972176608193"
Shriram Properties Ltd,SHRIRAMPPS,"Real Estate","1834.5304554830002","107.69","24.320965868792253"
Texmaco Infrastructure & Holdings Ltd,TEXINFRA,"Real Estate","1710.57454416","134.24","318.54274565363124"
Arihant Superstructures Ltd,ARIHANTSUP,"Real Estate","1341.198306735","325.85","21.0813943215184"
BEML Land Assets Ltd,BLAL,"Real Estate","1307.8455225","314.05","-350.6288264075067"
AGI Infra Ltd,AGIIL,"Real Estate","1035.4281036","847.55","19.877675246688426"
Oswal Greentech Ltd,OSWALGREEN,"Real Estate","1012.3417047780001","39.42","158.9233445491364"
Eldeco Housing and Industries Ltd,ELDEHSG,"Real Estate","945.63961","961.7","27.92792705256939"
GeeCee Ventures Ltd,GEECEE,"Real Estate","804.68333192","384.8","21.59643939667204"
Newtime Infrastructure Ltd,NEWINFRA,"Real Estate","794.079894","15.13","100.01006221662466"
Hazoor Multi Projects Ltd,HAZOOR,"Real Estate","764.448125","408.25","11.989462437264761"
Parsvnath Developers Ltd,PARSVNATH,"Real Estate","722.8359233699999","16.61","-1.2184544591902096"
PVP Ventures Ltd,PVP,"Real Estate","694.757020908","26.68","11.19853354139265"
Oswal Agro Mills Ltd,OSWALAGRO,"Real Estate","619.896195568","46.18","135.3485143161572"
Vipul Ltd,VIPULLTD,"Real Estate","567.07998804","40.23","2.428504081366966"
Nila Infrastructures Ltd,NILAINFRA,"Real Estate","512.8437384","13.02","45.58611007999993"
Prozone Realty Ltd,PROZONER,"Real Estate","499.469236059","32.73","110.50204337588497"
Cineline India Ltd,CINELINE,"Real Estate","443.7503203","129.5","-97.74236129955948"
Kings Infra Ventures Ltd,KINGSINFR,"Real Estate","431.66350175","176.15","56.50045834424086"
RDB Realty & Infrastructure Ltd,RDBRIL,"Real Estate","404.258726","233.9","20.552045043213013"
NDL Ventures Ltd,NDLVENTURE,"Real Estate","361.39750819299996","107.33","224.4705019832297"
Emami Realty Ltd,EMAMIREAL,"Real Estate","359.933228279","95.11","-2.92795272333035"
Nila Spaces Ltd,NILASPACES,"Real Estate","352.530834","8.95","26.26906363636364"
Sumit Woods Ltd,SUMIT,"Real Estate","343.934610856","84.74","38.21495676177775"
Rudrabhishek Enterprises Ltd,REPL,"Real Estate","318.304245","183.54","22.67124252136751"
Lancor Holdings Ltd,LANCORHOL,"Real Estate","313.5159302","42.95","46.51571664688416"
Prime Industries Ltd,PRIMIND,"Real Estate","306.650106","195.9","28.31487590027701"
P.E. Analytics Ltd,PROPEQUITY,"Real Estate","288.25786","275","25.875929982046674"
KBC Global Ltd,KBCGLOBAL,"Real Estate","280.739079676","1.88","-7.676759083292317"
Shradha Infraprojects Ltd,SHRADHA,"Real Estate","280.535076768","138.54","15.042095269061655"
Mercantile Ventures Ltd,MERCANTILE,"Real Estate","279.7954875","25","-65.3727774532711"
