Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio"
L&T Technology Services Ltd,LTTS,"Software Services","54211.063023","5122.5","41.58246760987962"
Mphasis Ltd,MPHASIS,"IT Services & Consulting","53985.1844365","2855","34.721179581237685"
Bharat Dynamics Ltd,BDL,"Aerospace & Defense Equipments","53160.7265625","1450.25","86.76185951576578"
United Breweries Ltd,UBL,"Alcoholic Beverages","52918.04652086","2001.4","129.0589628096969"
Hitachi Energy India Ltd,POWERINDIA,"Heavy Electrical Equipments","52520.007385125","12392.15","320.67412007036967"
Voltas Ltd,VOLTAS,"Home Electronics & Appliances","50845.4035721","1536.65","201.76747449246116"
KPIT Technologies Ltd,KPITTECH,"IT Services & Consulting","49941.319139205","1840.45","83.99993127326162"
Federal Bank Ltd,FEDERALBNK,"Private Banks","49162.3718916","200.75","12.789644917584132"
Coromandel International Ltd,COROMANDEL,"Fertilizers & Agro Chemicals","48112.55959123","1633.7","29.297803293912374"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","47922.350335875","644.75","31.225468056632504"
Honeywell Automation India Ltd,HONAUT,"Electronic Equipments","47851.2066283","54121","95.435194711408"
Sundaram Finance Ltd,SUNDARMFIN,"Consumer Finance","47692.3816975","4328.2","33.21150241465997"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","46862.276609190005","42014.35","82.3315177870131"
Bank of Maharashtra Ltd,MAHABANK,"Public Banks","46814.961127429","66.11","11.497419096176365"
GlaxoSmithKline Pharmaceuticals Ltd,GLAXO,"Pharmaceuticals","46726.41932805","2758.25","79.20269056893677"
ACC Ltd,ACC,"Cement","46719.593161770004","2487.9","19.99665856083155"
New India Assurance Company Ltd,NIACL,"Insurance","46119.28","279.85","41.30775293780478"
Adani Wilmar Ltd,AWL,"FMCG - Foods","45274.304205175","348.35","305.9488052789245"
Gujarat Gas Ltd,GUJGASLTD,"Gas Distribution","45240.999015","657.2","39.55670107108507"
Escorts Kubota Ltd,ESCORTS,"Tractors","45065.368335","4150","42.95580857584051"
Punjab & Sind Bank,PSB,"Public Banks","44916.390784269","66.27","75.43394932196229"
3M India Ltd,3MINDIA,"Stationery","44294.42421605","39320.15","75.92332016257865"
L&T Finance Ltd,LTF,"Consumer Finance","43996.0306028","176.5","18.962988924098102"
