Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio"
KPR Mill Ltd,KPRMILL,"Textiles","29471.20308","862.2","36.594279605140585"
Sundram Fasteners Ltd,SUNDRMFAST,"Auto Parts","29383.30061895","1398.35","56.32437628229954"
Amara Raja Energy & Mobility Ltd,ARE&M,"Batteries","29369.165034259997","1604.65","31.43171411445019"
ITI Ltd,ITI,"Telecom Equipments","29239.78952334","304.3","-51.395256843387465"
Brigade Enterprises Ltd,BRIGADE,"Real Estate","29076.8837658","1258","64.3849422417574"
Cholamandalam Financial Holdings Ltd,CHOLAHLDNG,"Diversified Financials","29059.501131809997","1547.55","16.39445599023425"
Crompton Greaves Consumer Electricals Ltd,CROMPTON,"Home Electronics & Appliances","29020.073609715004","451.05","65.96670669602423"
Grindwell Norton Ltd,GRINDWELL,"Industrial Machinery","28472.2016","2571.55","74.2159357731206"
Tata Chemicals Ltd,TATACHEM,"Diversified Chemicals","28118.72418425","1103.75","104.9206126277985"
SKF India Ltd,SKFINDIA,"Industrial Machinery","28090.15619697","5681.9","50.90640847584268"
Kaynes Technology India Ltd,KAYNES,"Electrical Components & Equipments","28025.1953214","4378.2","152.89250038952542"
Vedant Fashions Ltd,MANYAVAR,"Textiles","27933.15319212","1150.05","67.4420618864262"
Poonawalla Fincorp Ltd,POONAWALLA,"Consumer Finance","27763.92101756","359.8","16.499135948631704"
Hatsun Agro Product Ltd,HATSUN,"FMCG - Foods","27134.03219574","1217.4","101.51912674251729"
KIOCL Ltd,KIOCL,"Iron & Steel","27066.19506036","445.35","-324.8853086107311"
Whirlpool of India Ltd,WHIRLPOOL,"Home Electronics & Appliances","27059.2239024","2132.8","124.67390297825268"
Ircon International Ltd,IRCON,"Construction & Engineering","27006.9094741","287.15","29.05312076992591"
Aegis Logistics Ltd,AEGISLOG,"Oil & Gas - Storage & Transportation","26977.86","768.6","47.396932483002146"
Garden Reach Shipbuilders & Engineers Ltd,GRSE,"Shipbuilding","26923.15656","2350.3","75.36222969909028"
Aarti Industries Ltd,AARTIIND,"Specialty Chemicals","26880.65134395","741.5","64.54557783208465"
EIH Ltd,EIHOTEL,"Hotels, Resorts & Cruise Lines","26774.96745233","428.15","41.89480120846503"
Jyoti CNC Automation Ltd,JYOTICNC,"Computer Hardware","26691.51166204","1173.65","176.92901804348395"
BASF India Ltd,BASF,"Diversified Chemicals","26579.9800984","6140.6","47.18870186304962"
Gillette India Ltd,GILLETTE,"FMCG - Personal Products","25879.016415315","7941.95","72.75926792429992"
Pfizer Ltd,PFIZER,"Pharmaceuticals","25803.32201862","5640.35","46.80195530557015"
Dr. Lal PathLabs Ltd,LALPATHLAB,"Hospitals & Diagnostic Centres","25792.589625","3099","72.10071737064271"
Sumitomo Chemical India Ltd,SUMICHEM,"Commodity Chemicals","25638.62072964","513.65","69.37794812512516"
Central Depository Services (India) Ltd,CDSL,"Stock Exchanges & Ratings","25475.01","2437.8","60.78358903390519"
Jupiter Wagons Ltd,JWL,"Rail","25459.270488775","599.75","76.7863146603179"
Narayana Hrudayalaya Ltd,NH,"Hospitals & Diagnostic Centres","25443.331829625","1252.75","32.23653734415981"
Ratnamani Metals and Tubes Ltd,RATNAMANI,"Building Products - Pipes","25437.78864","3629.2","40.844889352751316"
Century Textiles and Industries Ltd,CENTURYTEX,"Paper Products","25357.206504","2295.95","501.82478733425944"
Castrol India Ltd,CASTROLIND,"Commodity Chemicals","25291.85935888","255.7","29.268581531575137"
Suven Pharmaceuticals Ltd,SUVENPHAR,"Pharmaceuticals","25209.56759268","990.3","83.95633127745026"
ICICI Securities Ltd,ISEC,"Investment Banking & Brokerage","24932.61214728","769.85","14.694854185078004"
Emcure Pharmaceuticals Ltd,EMCURE,"Pharmaceuticals","24927.889593275","1318.25","50.037917205176825"
