Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,,
Seamec Ltd,SEAMECLTD,Oil & Gas - Equipment & Services,3958.164,1556.8,33.070131172194856,,SEAMECLTD
Dolphin Offshore Enterprises (India) Ltd,DOLPHIN,Oil & Gas - Equipment & Services,2773.117486,693.2,497.86669400359074,,"SEAMECLTD,DOLPHIN"
Deep Industries Ltd,DEEPINDS,Oil & Gas - Equipment & Services,2125.44,332.1,17.162790697674417,,"SEAMECLTD,DOLPHIN,DEEPINDS"
Jindal Drilling and Industries Ltd,JINDRILL,Oil & Gas - Equipment & Services,1944.632078,671,38.01822245161291,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL"
Deep Energy Resources Ltd,DEEPENR,Oil & Gas - Equipment & Services,552.096,172.53,405.95294117647063,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR"
United Drilling Tools Ltd,UNIDT,Oil & Gas - Equipment & Services,504.4514686,248.46,53.77947426,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR,UNIDT"
Aban Offshore Ltd,ABAN,Oil & Gas - Equipment & Services,393.9659303,67.5,-0.298945958,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR,UNIDT,ABAN"
Alphageo (India) Ltd,ALPHAGEO,Oil & Gas - Equipment & Services,299.04857749499996,469.85,786.9699407763048,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR,UNIDT,ABAN,ALPHAGEO"
Global Offshore Services Ltd,GLOBOFFS,Oil & Gas - Equipment & Services,226.78967027399997,88.98,6.329602854423667,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR,UNIDT,ABAN,ALPHAGEO,GLOBOFFS"
Oil Country Tubular Ltd,OILCOUNTUB,Oil & Gas - Equipment & Services,211.1281895,47.67,-2.996851519,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR,UNIDT,ABAN,ALPHAGEO,GLOBOFFS,OILCOUNTUB"
Aakash Exploration Services Ltd,AAKASH,Oil & Gas - Equipment & Services,143.37,14.16,23.086956521739154,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR,UNIDT,ABAN,ALPHAGEO,GLOBOFFS,OILCOUNTUB,AAKASH"
Trishakti Industries Ltd,TRISHAKT,Oil & Gas - Equipment & Services,102.530259,69.03,148.5945782608686,,"SEAMECLTD,DOLPHIN,DEEPINDS,JINDRILL,DEEPENR,UNIDT,ABAN,ALPHAGEO,GLOBOFFS,OILCOUNTUB,AAKASH,TRISHAKT"
