Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,,
Janus Corporation Ltd,JANUSCORP,Advertising,22.91812,9.2,61.94086486486491,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD,CINERAD,PRAMARA,GRAPHISAD,INNOKAIZ,VERITAAS,SMEL,SILLYMONKS,WINPRO,JANUSCORP"
Innovatus Entertainment Networks Ltd,INNOVATUS,Advertising,20.494524,51.78,32.02269374999999,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD,CINERAD,PRAMARA,GRAPHISAD,INNOKAIZ,VERITAAS,SMEL,SILLYMONKS,WINPRO,JANUSCORP,INNOVATUS"
Brandbucket Media & Technology Ltd,BRANDBUCKT,Advertising,20.12690691,8.66,23.67871401411758,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD,CINERAD,PRAMARA,GRAPHISAD,INNOKAIZ,VERITAAS,SMEL,SILLYMONKS,WINPRO,JANUSCORP,INNOVATUS,BRANDBUCKT"
DAPS Advertising Ltd,DAPS,Advertising,16.818425,32.5,15.429747706422035,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD,CINERAD,PRAMARA,GRAPHISAD,INNOKAIZ,VERITAAS,SMEL,SILLYMONKS,WINPRO,JANUSCORP,INNOVATUS,BRANDBUCKT,DAPS"
Esha Media Research Ltd,ESHAMEDIA,Advertising,12.86582064,16.48,-160.822758,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD,CINERAD,PRAMARA,GRAPHISAD,INNOKAIZ,VERITAAS,SMEL,SILLYMONKS,WINPRO,JANUSCORP,INNOVATUS,BRANDBUCKT,DAPS,ESHAMEDIA"
Navoday Enterprises Ltd,NAVODAYENT,Advertising,5.47268,7.1,16.583878787878763,,"AFFLE,VERTOZ,PRAVEG,MMWL,RKSWAMY,BCG,SIGNPOST,BRIGHT,DRCSYSTEMS,EXHICON,CRAYONS,MAAGHADV,EFACTOR,MAXPOSURE,TOUCHWOOD,CINERAD,PRAMARA,GRAPHISAD,INNOKAIZ,VERITAAS,SMEL,SILLYMONKS,WINPRO,JANUSCORP,INNOVATUS,BRANDBUCKT,DAPS,ESHAMEDIA,NAVODAYENT"
Hathway Cable and Datacom Ltd,HATHWAY,Cable & D2H,4122.573381,23.29,41.51216776256187,,HATHWAY
Dish TV India Ltd,DISHTV,Cable & D2H,2969.946176,16.13,-1.510216355,,"HATHWAY,DISHTV"
DEN Networks Ltd,DEN,Cable & D2H,2632.701377,55.22,12.264517735525942,,"HATHWAY,DISHTV,DEN"
GTPL Hathway Ltd,GTPL,Cable & D2H,1855.190275,164.96,17.336606624128574,,"HATHWAY,DISHTV,DEN,GTPL"
Siti Networks Ltd,SITINET,Cable & D2H,75.86868478,0.87,-0.270969266,,"HATHWAY,DISHTV,DEN,GTPL,SITINET"
Hathway Bhawani Cabletel and Datacom Ltd,HATHWAYB,Cable & D2H,16.3944,20.24,-409.86,,"HATHWAY,DISHTV,DEN,GTPL,SITINET,HATHWAYB"
Ortel Communications Ltd,ORTEL,Cable & D2H,4.541944734,1.38,-0.206828084,,"HATHWAY,DISHTV,DEN,GTPL,SITINET,HATHWAYB,ORTEL"
City Online Services Ltd,CITYONLINE,Cable & D2H,3.3105727,6.41,-16.5528635,,"HATHWAY,DISHTV,DEN,GTPL,SITINET,HATHWAYB,ORTEL,CITYONLINE"
Saregama India Ltd,SAREGAMA,Movies & TV Serials,10324.99451,536.9,52.25464095905666,,SAREGAMA
Network18 Media & Investments Ltd,NETWORK18,Movies & TV Serials,9805.719829,93.66,-38.64323085,,"SAREGAMA,NETWORK18"
Tips Industries Ltd,TIPSINDLTD,Movies & TV Serials,8149.90302,637.55,64.08667940905875,,"SAREGAMA,NETWORK18,TIPSINDLTD"
Panorama Studios International Ltd,PANORAMA,Movies & TV Serials,1624.430531,236.75,42.63597194881886,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA"
Balaji Telefilms Ltd,BALAJITELE,Movies & TV Serials,715.9822823359999,70.52,36.17899354906512,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE"
UFO Moviez India Ltd,UFO,Movies & TV Serials,549.7722352,142.44,33.604659853056255,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO"
Shemaroo Entertainment Ltd,SHEMAROO,Movies & TV Serials,420.7248996,154.29,-10.34739055,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO"
Madhuveer Com 18 Network Ltd,MADHUVEER,Movies & TV Serials,364.028009,148.7,156.23519699570815,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER"
Tips Films Ltd,TIPSFILMS,Movies & TV Serials,217.13856378000003,502.3,197.3986943454555,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS"
Eros International Media Ltd,EROSMEDIA,Movies & TV Serials,188.7589862,19.68,-1.619414775,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA"
B.A.G. Films and Media Ltd,BAGFILMS,Movies & TV Serials,172.9804107,8.74,43.462414738693276,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS"
Baweja Studios Ltd,BAWEJA,Movies & TV Serials,171.0025693,92.8,20.803232272506097,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA"
GV Films Ltd,GVFILM,Movies & TV Serials,165.9518771,0.89,-385.934598,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM"
Bodhi Tree Multimedia Ltd,BTML,Movies & TV Serials,164.69728,13.18,48.58326843657812,,"SAREGAMA,NETWORK18,TIPSINDLTD,PANORAMA,BALAJITELE,UFO,SHEMAROO,MADHUVEER,TIPSFILMS,EROSMEDIA,BAGFILMS,BAWEJA,GVFILM,BTML"
