Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,,
Gail (India) Ltd,GAIL,Gas Distribution,157144.4035,239,15.874422779542218,,GAIL
Adani Total Gas Ltd,ATGL,Gas Distribution,100693.1121,915.55,150.85110434316869,,"GAIL,ATGL"
Gujarat Gas Ltd,GUJGASLTD,Gas Distribution,45240.99902,657.2,39.55670107108507,,"GAIL,ATGL,GUJGASLTD"
Indraprastha Gas Ltd,IGL,Gas Distribution,37915.54333,541.65,19.10035582221283,,"GAIL,ATGL,GUJGASLTD,IGL"
Gujarat State Petronet Ltd,GSPL,Gas Distribution,19191.64995,340.15,11.564578887051672,,"GAIL,ATGL,GUJGASLTD,IGL,GSPL"
Mahanagar Gas Ltd,MGL,Gas Distribution,18022.49948,1824.55,14.120121504728246,,"GAIL,ATGL,GUJGASLTD,IGL,GSPL,MGL"
Everest Kanto Cylinder Ltd,EKC,Gas Distribution,1931.543038,172.14,19.46531329182707,,"GAIL,ATGL,GUJGASLTD,IGL,GSPL,MGL,EKC"
Irm Energy Ltd,IRMENERGY,Gas Distribution,1866.9835131900002,454.7,21.792733899731527,,"GAIL,ATGL,GUJGASLTD,IGL,GSPL,MGL,EKC,IRMENERGY"
Mauria Udyog Ltd,MUL,Gas Distribution,124.4088,9.34,7.431827956989256,,"GAIL,ATGL,GUJGASLTD,IGL,GSPL,MGL,EKC,IRMENERGY,MUL"
Kabsons Industries Ltd,KABSON,Gas Distribution,67.197624,38.48,25.746216091954036,,"GAIL,ATGL,GUJGASLTD,IGL,GSPL,MGL,EKC,IRMENERGY,MUL,KABSON"
Southern Gas Ltd,ZSOUTGAS,Gas Distribution,0.05103,22.68,0.028349999999999993,,"GAIL,ATGL,GUJGASLTD,IGL,GSPL,MGL,EKC,IRMENERGY,MUL,KABSON,ZSOUTGAS"
NTPC Ltd,NTPC,Power Generation,410605.3274,423.45,19.729362755820343,,NTPC
Adani Power Ltd,ADANIPOWER,Power Generation,284642.0938,738,13.665800742424313,,"NTPC,ADANIPOWER"
JSW Energy Ltd,JSWENERGY,Power Generation,126933.4845,727.65,73.68244478717833,,"NTPC,ADANIPOWER,JSWENERGY"
CESC Ltd,CESC,Power Generation,24104.1727,181.84,17.513112725048156,,"NTPC,ADANIPOWER,JSWENERGY,CESC"
Reliance Power Ltd,RPOWER,Power Generation,13215.83448,32.9,-6.389461549,,"NTPC,ADANIPOWER,JSWENERGY,CESC,RPOWER"
RattanIndia Power Ltd,RTNPOWER,Power Generation,9027.147951,16.81,1.0146568073352629,,"NTPC,ADANIPOWER,JSWENERGY,CESC,RPOWER,RTNPOWER"
GMR Power and Urban Infra Ltd,GMRP&UI,Power Generation,6857.423609,95.93,-66.55754255,,"NTPC,ADANIPOWER,JSWENERGY,CESC,RPOWER,RTNPOWER,GMRP&UI"
Gujarat Industries Power Company Ltd,GIPCL,Power Generation,3608.550843,238.58,18.177265984807573,,"NTPC,ADANIPOWER,JSWENERGY,CESC,RPOWER,RTNPOWER,GMRP&UI,GIPCL"
India Power Corporation Ltd,DPSCLTD,Power Generation,2092.673936,21.49,121.73786715299552,,"NTPC,ADANIPOWER,JSWENERGY,CESC,RPOWER,RTNPOWER,GMRP&UI,GIPCL,DPSCLTD"
Globus Power Generation Ltd,GLOBUSCON,Power Generation,260.33345088000004,26.31,38.510865514792904,,"NTPC,ADANIPOWER,JSWENERGY,CESC,RPOWER,RTNPOWER,GMRP&UI,GIPCL,DPSCLTD,GLOBUSCON"
Adani Energy Solutions Ltd,ADANIENSOL,Power Infrastructure,142247.6269,1275.2,125.07704957104659,,"NTPC,ADANIPOWER,JSWENERGY,CESC,RPOWER,RTNPOWER,GMRP&UI,GIPCL,DPSCLTD,GLOBUSCON,ADANIENSOL"
Kalpataru Projects International Ltd,KPIL,Power Infrastructure,22144.65944,1363.2,43.45413049320048,,"NTPC,ADANIPOWER,JSWENERGY,CESC,RPOWER,RTNPOWER,GMRP&UI,GIPCL,DPSCLTD,GLOBUSCON,ADANIENSOL,KPIL"
Reliance Infrastructure Ltd,RELINFRA,Power Infrastructure,8484.987524,214.44,-5.2745686,,"NTPC,ADANIPOWER,JSWENERGY,CESC,RPOWER,RTNPOWER,GMRP&UI,GIPCL,DPSCLTD,GLOBUSCON,ADANIENSOL,KPIL,RELINFRA"
