Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio"
CPSE ETF,CPSEETF,"Equity","23025.673136880003","106.17",
UTI S&P BSE Sensex ETF,UTISENSETF,"Equity","15502.995608939998","886.92",
Bharat 22 ETF,ICICIB22,"Equity","10739.054693185","121.11",
Nippon India ETF Nifty Bank BeES,BANKBEES,"Equity","10625.94809425","528.75",
Kotak Nifty Bank ETF,BANKNIFTY1,"Equity","8642.347920388","529.3",
SBI Nifty 50 ETF,SETFNIF50,"Equity","8375.508879793","263.15",
BHARAT Bond ETF-April 2023-Growth,EBBETF0423,"Debt","8369.700871194","1230.39",
BHARAT Bond ETF-April 2030-Growth,EBBETF0430,"Debt","6636.666277530001","1389.5",
BHARAT Bond ETF-April 2032,BBETF0432,"Debt","6496.905610791","1164.67",
Nippon India ETF Gold BeES,GOLDBEES,"Gold","5168.879891351","59.09",
Nippon India ETF Nifty 50 BeES,NIFTYBEES,"Equity","4449.399917086","278.33",
Motilal Oswal NASDAQ 100 ETF,MON100,"Equity","3724.72539368","158.82",
SBI Gold ETF,SETFGOLD,"Gold","2644.090741","60.87",
Nippon India ETF Nifty 1D Rate Liquid BeES,LIQUIDBEES,"Debt","2580.8388","1000",
ICICI Prudential Nifty 50 ETF,NIFTYIETF,"Equity","2180.653534008","277.26",
Kotak Gold Etf,GOLD1,"Gold","1984.1380216000002","59.36",
HDFC Gold Exchange Traded Fund,HDFCGOLD,"Gold","1906.0882018","61.39",
ICICI Prudential Gold ETF,GOLDIETF,"Gold","1905.052968","60.94",
Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES,"Equity","1901.11000107","791.5",
Kotak Nifty 50 ETF,NIFTY1,"Equity","1502.04666942","271.62",
HDFC Nifty 50 ETF,HDFCNIFTY,"Equity","875.43042121","275.12",
LIC MF S&P BSE Sensex ETF,LICNETFSEN,"Equity","676.6234261679999","902.22",
UTI Gold Exchange Traded Fund,GOLDSHARE,"Gold","651.5397","59.35",
UTI Nifty Next 50 Exchange Traded Fund,UTINEXT50,"Equity","599.22049201","78.96",
Aditya BSL Nifty 50 ETF,BSLNIFTY,"Equity","481.92970355999995","28.67",
Nippon India ETF Nifty Midcap 150,MID150BEES,"Equity","373.16630627","223.18",
Aditya BSL Gold ETF,BSLGOLDETF,"Gold","353.22745599999996","62.66",
Axis Gold ETF,AXISGOLD,"Gold","319.17102719999997","59.48",
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,AXISBPSETF,"Equity","298.533586836","11.92",
Mirae Asset Nifty 50 ETF,NIFTYETF,"Equity","286.834962568","266.42",
SBI Nifty Bank ETF,SETFNIFBK,"Equity","242.866097175","524.54",
ICICI Prudential Nifty 100 Low Vol 30 ETF,LOWVOLIETF,"Equity","235.24006723000002","22.06",
NipponINETFNifty SDL Apr 2026 Top 20 Equal Weight,SDL26BEES,"Debt","183.7082079","123.22",
Nippon India ETF Nifty PSU Bank BeES,PSUBNKBEES,"Equity","163.46488893","81.77",
Kotak S&P BSE Sensex ETF,SENSEX1,"Equity","142.89995898","87.67",
ICICI Prudential Nifty Next 50 ETF,NEXT50IETF,"Equity","141.05316456","77.55",
Quantum Gold Fund,QGOLDHALF,"Gold","130.0258572","58.78",
HDFC S&P BSE Sensex ETF,HDFCSENSEX,"Equity","128.966509","90.94",
Aditya BSL Nifty Next 50 ETF,ABSLNN50ET,"Equity","110.88097020000001","76.86",
ICICI Prudential Silver ETF,SILVERIETF,"Equity","105.953940543","85.43",
LIC MF Nifty 8-13 yr G-Sec ETF,LICNETFGSC,"Debt","96.08053938","25.75",
