Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1590909.26253978","4397.1","34.654292553362815"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1248352.8369189198","1638.8","19.486623231463106"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","899757.3930135301","1505.5","120.49784291061111"
ICICI Bank Ltd,ICICIBANK,"Private Banks","851784.96321218","1210.1","19.24660705819704"
State Bank of India,SBIN,"Public Banks","769881.69161901","862.65","11.47627201780153"
Infosys Ltd,INFY,"IT Services & Consulting","767322.5471944","1852.6","29.250278168505318"
Life Insurance Corporation Of India,LICI,"Insurance","745812.103913415","1179.15","18.227950877555163"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","638043.25515241","2715.55","62.08458257783497"
ITC Ltd,ITC,"FMCG - Tobacco","617266.2841531701","493.7","30.17121666849979"
Larsen and Toubro Ltd,LT,"Construction & Engineering","519651.822557","3779.3","39.79228466235443"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","443954.690164695","1640.55","28.273767046535156"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","429931.04186505","341.75","8.734640147534469"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","420317.6663604","1144.4","13.386300888350576"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","420011.97061947","13359.05","31.1392158048865"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","418819.472739925","6771.65","28.981699941245253"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","411533.9340544","1715.2","42.97385171164887"
NTPC Ltd,NTPC,"Power Generation","410605.32744423","423.45","19.729362755820343"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","366766.860653725","3217.25","113.2153727072355"
Axis Bank Ltd,AXISBANK,"Private Banks","362372.05000181","1172.3","13.733392834201572"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","356400.33395118","1792.65","19.568232834913772"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","345392.8082231","11984.5","49.30661073848671"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","343494.494339175","1590.15","42.35109613287915"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","338906.91160512","2828.4","30.07522749907003"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","335844.80390409","361.1","21.565616991290785"
Coal India Ltd,COALINDIA,"Mining - Coal","333033.83879108","540.4","8.904102898273868"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","324963.07949783996","4993.8","128.1314263230936"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","321901.47075","4813.3","42.23846723876631"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","307663.9961626","3468.35","88.00457556138444"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","301275.05715321","1901.95","273.8864155938273"
Asian Paints Ltd,ASIANPAINT,"Paints","297124.95223106496","3099.35","54.416197162219326"
Adani Power Ltd,ADANIPOWER,"Power Generation","284642.0938458","738","13.665800742424313"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","273631.65844","647.6","35.26635628818147"
Wipro Ltd,WIPRO,"IT Services & Consulting","272488.098879315","521.55","24.67027295832714"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","271655.8615758","9730.5","35.24226821891898"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","260532.14608996","1634.8","31.975805229388573"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","253801.01745765898","179.73","6.08202499126303"
Siemens Ltd,SIEMENS,"Conglomerates","250309.8048344","7028.8","127.65046908786788"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","248014.106868","189.78","38.67901624707"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","239496.638544","2484","60.896613781389526"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","227764.68088747998","934.55","25.847104049872897"
Bharat Electronics Ltd,BEL,"Electronic Equipments","227443.768264335","311.15","57.08184882102108"
DLF Ltd,DLF,"Real Estate","216317.48998734","873.9","79.3214366863481"
Jio Financial Services Ltd,JIOFIN,"Consumer Finance","208832.45125956","328.7","130.15016749840143"
